FMID,Credit,WIC,WICcash,SFMNP,SNAP
1010986,Y,Y,,Y,Y
1008482,Y,,,,
1001764,,Y,,,
1000558,Y,,,,
1012474,Y,Y,Y,Y,Y
1012410,Y,Y,Y,Y,Y
1012375,Y,Y,Y,Y,Y
1012453,Y,Y,Y,Y,Y
1012422,Y,Y,Y,Y,Y
1012455,Y,Y,Y,Y,Y
1012477,Y,Y,Y,Y,Y
1012413,Y,Y,Y,Y,Y
1012419,Y,Y,Y,Y,Y
1012454,Y,Y,Y,Y,Y
1012374,Y,Y,Y,Y,Y
1012427,Y,Y,Y,Y,Y
1012377,Y,Y,Y,Y,Y
1002085,Y,Y,,Y,Y
1018326,Y,,,,
1007662,,,,,
1002798,,Y,,Y,
1019187,Y,,,,Y
1002314,,,,,
1005928,,,,,
1005927,,,,,
1002621,,,,,
1002622,,,,,
1002620,,,,,
1001018,Y,,,,
1017963,Y,,,Y,
1009968,Y,Y,,Y,
1018561,Y,Y,,Y,Y
1008236,Y,,Y,,
1018253,Y,,,Y,Y
1003571,,,,,
1010945,Y,,,,Y
1011958,Y,,Y,,Y
1011122,Y,Y,,Y,Y
1019466,Y,Y,Y,Y,Y
1019222,Y,,,,
1000294,,,,,
1001892,,,,,
1001893,,,,,
1006270,,,,,
1019495,Y,,,,Y
1008855,Y,,,,
1010575,Y,,,,
1008534,Y,Y,,Y,
1007842,,,,,
1005081,Y,,,,Y
1009285,Y,,,,
1009272,Y,,,,
1004350,Y,,Y,,
1000397,,,,,
1002490,,,,,
1016829,Y,,,,
1007600,,,,,
1003575,,,,,
1003219,Y,Y,,Y,Y
1008904,Y,,,Y,Y
1008905,Y,,,,Y
1000887,,Y,,,
1007501,,,,,
1005158,Y,Y,,Y,Y
1008897,Y,,,,
1009810,Y,Y,Y,Y,Y
1000465,,,,,
1003642,,,,,
1006964,,,,,
1000836,Y,,,,
1018712,Y,Y,,Y,Y
1004530,,,,,
1009244,Y,,,,
1004692,Y,,,,Y
1005837,,,,,
1000086,Y,Y,Y,Y,Y
1003661,Y,Y,Y,Y,Y
1001245,Y,Y,Y,,Y
1009516,Y,,,,
1009447,Y,,,,
1003911,,,,,
