FMID,Credit,WIC,WICcash,SFMNP,SNAP
1011740,Y,Y,,Y,Y
1017930,Y,Y,,Y,Y
1004738,Y,Y,,Y,
1004016,,,,,
1006021,Y,Y,Y,Y,Y
1008322,Y,,,,
1000808,Y,,,,
1006098,,,,,
1019270,Y,Y,,Y,Y
1000369,,,,,
1007563,,,,,
1001264,,,,,
1002722,Y,,,,
1007651,,,,,
1002263,,,,,
1012093,Y,,Y,Y,
1012173,Y,Y,,Y,
1009997,Y,,,,
1011489,Y,,,,
1002636,,,,,
1002040,,,,,
1000566,,,,,
1008997,Y,,,,
1006912,,,,,
1007668,,,,,
1007644,,,,,
1009464,Y,,,,
1004317,,,,,
1003586,,,,,
1011711,Y,,,,
1003143,Y,,,,
1002900,,,,,
1011460,Y,Y,,Y,Y
1007358,Y,Y,Y,Y,
1012399,Y,,,,Y
1007844,,,,,
1008276,Y,Y,,Y,Y
1007210,,,,,
1012444,Y,,,,
1019159,Y,,,,
1011215,Y,Y,,,Y
1003681,Y,Y,Y,Y,Y
1002643,Y,Y,Y,Y,
1003975,,,,,
1003323,,,,,
1008732,Y,Y,Y,Y,
1002953,,,,,
1010163,Y,Y,,,
1009351,Y,,,,
1006846,Y,,,,Y
1006847,Y,,,,Y
1005295,Y,Y,,Y,Y
1018146,Y,Y,,,
1000690,Y,,,,Y
1000115,,,,,
1008436,,,,,Y
1012616,Y,Y,Y,Y,Y
1012484,Y,Y,,Y,Y
1006003,,,,,
1003488,Y,,,,Y
1002363,,,,,
1007208,,,,,
1006849,Y,,,,
1003361,,,,,
1019405,Y,,,,
1018734,Y,,,,
1004680,Y,,,,Y
1001940,,,,,
1001036,,,,,
1004624,,,,,
1004625,,,,,
1006984,,,,,
1018800,Y,,,,
1002359,,,,,
1012117,Y,,,,
1005393,,,,,
1010090,Y,,,,
1012449,Y,,,,
1012589,Y,,,,
1005208,,Y,Y,Y,
1006668,,Y,Y,Y,
1005931,,,,,
1019465,Y,Y,Y,Y,Y
1003576,,,,,
1010399,Y,Y,Y,Y,Y
1000352,,,,,
1003483,,,,,
1009725,Y,,,,Y
1007167,,,,,
1001831,,,,,Y
1001832,,,,,Y
1003955,,,,,
1000799,Y,Y,Y,Y,
1011326,Y,,,,
1004151,,,,,
1003440,,,,,
1002943,,,,,
1010147,Y,Y,Y,Y,Y
1011833,Y,Y,Y,Y,Y
1001583,,,,,
1004929,Y,,,,
1001321,Y,Y,Y,Y,
1009248,Y,,,,
1000891,,,,,
1004645,Y,,,,
1019225,Y,,,,
1002374,,,,,
1006246,,,,,
1018387,Y,,Y,Y,Y
1012507,Y,,,,
1005289,,,,,
1019543,Y,,,,Y
1018080,Y,Y,Y,,
1007672,,,,,
1005983,Y,,,,
1000798,,,,Y,
1004779,,Y,,Y,
1002817,,,,,
1004593,,Y,Y,Y,Y
1002231,Y,,,,
1006859,,Y,Y,Y,
1006941,,,,,
1002644,,,,,
1018171,Y,Y,Y,Y,Y
1004643,,,,Y,Y
1003099,,,,,
1007673,,,,,
1018886,Y,,,Y,Y
1003250,,,,,
1017995,Y,,,,
1018335,Y,Y,Y,Y,Y
1008484,Y,,,,
1005148,Y,,,Y,
1005149,Y,,,Y,
1007605,,,,,
1018015,Y,Y,,Y,Y
1004271,Y,Y,Y,Y,Y
1000974,,,,,
1010687,Y,,,,
1012019,Y,,,,Y
1003164,,Y,,Y,
1003565,,,,,
1004201,Y,,,,
1005834,Y,Y,Y,Y,Y
1003569,,,,,
1000626,Y,,,,
1003729,,,,,
1011537,Y,,,,Y
1010325,Y,,Y,,Y
1012273,Y,,,,
1004684,,,,,
1006635,Y,,,Y,Y
1006231,,,,,
1004463,Y,,,,
1009812,,,,,
1007606,,,,,
1002601,Y,Y,,Y,Y
1004754,Y,,Y,,Y
1009894,Y,Y,,Y,Y
1011319,Y,Y,Y,Y,Y
1005110,Y,Y,,Y,Y
1006834,Y,,,Y,
1001432,,,,Y,
1007269,,,,,
1012393,Y,,,Y,
1005556,,,,,
1002353,Y,,,,Y
1008241,,,,Y,
1011055,Y,,,,
1005243,Y,Y,,Y,Y
1006636,Y,Y,,Y,Y
1010252,Y,,,Y,Y
1005700,,,,,
1018731,Y,Y,,Y,Y
1002216,,,,,
1003676,,,,,
1005339,Y,,,,
1005515,Y,Y,,,Y
1007674,,,,,
1008606,Y,,,,Y
1003022,Y,,,,
1004611,,,,,
1000944,,,Y,,
1002187,Y,Y,Y,Y,
1008483,Y,Y,,Y,Y
1002874,Y,Y,Y,Y,
1005302,Y,Y,,Y,Y
1012146,Y,Y,,Y,Y
1002241,,,,,
1010203,Y,,,,Y
1009643,Y,,,,
1003524,Y,,,,
1009159,Y,,,,
1009499,Y,,,,
1000561,,,,,
1004401,Y,,,Y,
1012379,Y,,,,Y
1001261,Y,Y,Y,Y,Y
1001989,,,,,
1000531,,,,,
1004079,,Y,Y,Y,Y
1003878,,,,,
1007752,,,,,
1001763,Y,,,Y,Y
1007297,,,,,
1001701,Y,,,,
1010226,Y,,,Y,Y
1007057,,,,,
1002160,,Y,,Y,
1018585,Y,Y,Y,Y,Y
1009284,Y,,,,
1019104,Y,,,,Y
1000877,,,,,
1001499,,,,,
1000316,Y,Y,Y,Y,Y
1003596,,,,,
1008409,Y,Y,,,
1009309,Y,,,,
1000886,Y,,,,Y
1009755,,,,,
1003015,,,,,
1004972,,,,,
1010704,Y,,,,
1011161,Y,,,,Y
1000578,,,,,
1003227,,,,,
1004650,,,,,
1012610,Y,,,,
1003966,,,,,
1004360,Y,,,,
1018809,Y,,,,
1000704,,,,,
1006360,,,,,
1006613,,,,,
1001334,,,,,
1019141,Y,,,,Y
1002809,,,,,
1009474,Y,,,,
1004177,,,,,
1001485,,,,,
1007218,,,,,
1000067,Y,Y,Y,Y,Y
1005250,Y,,,Y,Y
1004051,,,,,
1010123,Y,Y,Y,Y,Y
1018577,Y,,,Y,Y
1000246,,,,,
1011386,Y,,,,Y
1012712,Y,,,,Y
1004302,,,,Y,
1000354,,,,,
1008616,,,,,
1003086,,,,,
1005809,,,,,
1010079,Y,,,,
1012088,Y,,,,Y
1000921,,,,,
1009000,,,,,
1005719,Y,Y,,Y,Y
1001680,,Y,,Y,
1001681,,Y,,Y,
1001234,,,,,
1008416,Y,Y,Y,Y,Y
1005491,,,,,
1004255,Y,,,,Y
1008434,Y,,,,Y
1008428,Y,,,,Y
1002814,,,,,
1009719,,,,,
1017956,Y,,Y,Y,Y
1004618,,,,,
1010007,,,,,
1000303,Y,,,,
1018182,Y,Y,Y,,Y
1018272,Y,Y,,Y,
1010429,,,,,
1003687,,,,,
1004160,,,,,
1018290,Y,Y,,Y,Y
1008491,Y,,,,
1005502,Y,Y,,Y,Y
1000157,,,,,
1006460,Y,Y,Y,Y,
1008493,Y,,,,
1007679,,,,,
1006368,Y,Y,,,
1011057,Y,,,,
1012758,Y,,,,Y
1005940,Y,Y,Y,Y,Y
1005941,Y,Y,Y,Y,Y
1019206,Y,Y,Y,Y,Y
1005943,Y,Y,Y,Y,Y
1007587,,,,,
1000545,,,,,
1002042,Y,Y,,Y,
1011036,Y,,,,Y
1002915,,,,,
1002106,Y,,,,
1019061,Y,,,,Y
1008938,,,,,
1007053,,,,,
1000579,Y,Y,,Y,
1007374,Y,,,Y,
1006482,,,,,
1006181,,,,,
1001837,,Y,,Y,
1003497,,,,,
1000406,Y,Y,Y,Y,Y
1011959,Y,Y,,,
1005296,Y,Y,,Y,Y
1000257,,,,,
1007037,,,,,
1006489,,,,,
1002242,,,,,
1008001,,,,,
1018324,Y,Y,Y,Y,
1018325,Y,Y,Y,Y,
1004851,Y,Y,Y,,
1007681,,,,,
1002473,,,,,
1004198,Y,,,,Y
1000893,,,,,
1004721,Y,,,,
1004978,,,,,
1002395,,,,,
1018813,Y,Y,Y,Y,
1009507,Y,,,,
1010564,Y,,,,
1006953,,,,,
1018298,Y,,,,
1004282,,,,,
1004202,Y,,,,
1011350,Y,Y,,,Y
1004533,,,,,
1007411,,,,,
1001923,,,,,
1005686,,,,,
1002048,,Y,,Y,
1009203,Y,,,,
1000613,Y,,,Y,
1004696,,,,,
1019110,Y,,,,Y
1012527,Y,Y,,,Y
1009428,Y,,,,
1006806,Y,,,,
1002596,,,,,
1010192,,,,,
1006670,Y,Y,,,Y
1006671,Y,Y,,,Y
1005812,,,,,
1007401,,,,,
1018381,Y,Y,,Y,
1006518,,,,,
1003017,Y,,,,Y
1001450,,,,,
1001451,,,,,
1008982,,,,,
1018551,Y,,Y,,Y
1007566,,,,,
1011266,Y,Y,Y,Y,
1006930,,,,,
1019097,Y,,,,Y
1010876,Y,,,,
1009348,Y,,,,
1019314,Y,Y,,Y,Y
1001123,,,,,
1000360,,,,,
1000549,Y,,,Y,Y
1010330,,,,,
1010561,Y,,,,
1002385,,,,,
1010707,Y,,,,
1011903,Y,Y,Y,Y,Y
1002895,Y,Y,,Y,Y
1004780,,Y,,Y,Y
1006877,,,,,
1003498,,,,,
1005901,,,,,
1002808,Y,,,,
1001390,Y,,,,Y
1019474,Y,Y,,Y,
1010609,Y,Y,,,
1018967,Y,Y,,,Y
1018969,Y,Y,,,Y
1018163,Y,Y,Y,Y,Y
1018173,Y,Y,Y,Y,Y
1003957,,,,,
1010390,Y,Y,,,Y
1009041,Y,,,,Y
1009208,Y,,,,
1007224,,,,,
1006392,,,,,
1010515,Y,,,,
1002563,Y,Y,Y,,Y
1012079,Y,,Y,Y,
1001359,,,,,
1004677,,,,,
1002594,Y,,,,Y
1002595,Y,,,,Y
1002525,,,,,
1001896,Y,Y,Y,Y,Y
1002011,,,,,
1007503,,,,,
1007424,,,,,
1006440,,,,,
1009166,Y,,,,
1008764,Y,,,,
1003173,,,,,
1000956,,,,,
1000656,,,,,
1001876,Y,,Y,,Y
1011528,Y,Y,,Y,Y
1011495,Y,Y,,Y,Y
1011387,Y,,,,
1002053,Y,Y,,Y,
1002054,Y,Y,,Y,
1017986,Y,Y,Y,Y,Y
1018685,Y,Y,,Y,Y
1002316,Y,Y,Y,Y,Y
1008162,Y,Y,,,Y
1003470,Y,,,,
1001711,,,,,
1002417,,,,,
1003545,,,,,
1001290,Y,Y,Y,,Y
1006646,,,,,
1006253,Y,,,,
1010977,Y,,,,Y
1018007,Y,,,,
1001446,,,,,
1009656,Y,,,,Y
1000210,Y,,,,Y
1009382,Y,,,,
1008496,,,,,
1004166,Y,Y,,Y,Y
1002375,,,,,
1017981,Y,,,,
1018196,Y,Y,,,
1016856,Y,,,,Y
1016858,Y,,,,Y
1010758,Y,,,,
1011224,Y,Y,Y,Y,Y
1008316,Y,,,,Y
1000068,Y,Y,Y,Y,Y
1006811,,Y,Y,Y,
1003006,,,,,
1006705,Y,Y,,Y,
1005087,Y,Y,,Y,
1005830,,Y,,Y,
1007015,,,,,
1017964,Y,,,,
1019483,Y,Y,Y,Y,
1003996,Y,,,,Y
1003893,Y,Y,Y,Y,Y
1019199,Y,,,,
1018890,Y,Y,,,Y
1002562,,,,,
1000865,Y,Y,,Y,
1004424,,,,,
1003218,,,,,
1011003,Y,,,,Y
1004237,,,,,
1002940,Y,Y,,,
1010964,Y,Y,,Y,Y
1012754,Y,,,,
1006090,,,,,
1009973,,,,,
1003272,,Y,Y,Y,Y
1012415,Y,Y,,Y,Y
1001329,Y,,,,
1001331,Y,,,,
1001330,Y,,,,
1011616,Y,,Y,Y,Y
1012132,Y,Y,Y,Y,Y
1002190,,,,,
1009853,Y,,,,Y
1001263,,,,,
1019592,Y,,,,
1010233,Y,Y,,,Y
1002010,,,,,
1007154,,,,,
1011785,Y,,,,Y
1011343,Y,Y,,,Y
1005916,,,,,
1001337,,,,,
1001336,,,,,
1002749,,Y,,Y,
1000276,,,,Y,
1007317,Y,,Y,Y,
1006216,,Y,,Y,
1010773,Y,,,,
1004621,,,,,
1019042,Y,,,Y,
1007995,,Y,,,
1011548,Y,,,,
1003308,Y,Y,,Y,
1003244,,,,,
1018320,Y,,,,Y
1006204,,,,,
1003204,,,,,
1008705,,Y,,,
1012030,Y,Y,Y,Y,Y
1009865,,Y,,,
1002022,,,,,
1008480,Y,,,,
1003198,,,,,
1006825,,,,,
1000197,Y,Y,,,Y
1003608,,,,,
1006210,,Y,,Y,
1007697,,Y,Y,Y,
1010400,Y,,,,Y
1011235,Y,,,,
1006258,,,,,
1001788,,,,,
1018277,Y,Y,Y,Y,Y
1004123,,,,,
1006766,Y,Y,Y,Y,Y
1012194,Y,Y,Y,Y,Y
1009869,Y,,,,Y
1012265,Y,,,Y,Y
1018228,Y,,,,Y
1012476,Y,Y,,Y,Y
1000158,Y,,,,Y
1006999,,,,,
1000982,,,,,
1007004,Y,,,,
1007058,,,,,
1005372,,,,,
1000899,Y,,,,
1018190,Y,Y,,Y,
1001825,,,,,
1001072,,,,,
1009614,Y,,,,
1005779,Y,,,,
1003998,,,,,
1010366,Y,,,,
1018793,Y,,Y,Y,
1000834,,,,,
1003013,,,,,
1006920,,,,,
1003462,,,,,
1012309,Y,,,,
1007442,,,,,
1007244,,,,,
1000088,Y,Y,Y,Y,Y
1001318,Y,Y,Y,Y,
1003859,Y,,,,
1012666,Y,,,,
1003758,Y,,,,Y
1004776,Y,Y,,Y,
1006387,,,,,
1012808,Y,,,,
1009741,Y,,,,
1002978,,,,,
1000103,Y,Y,Y,Y,Y
1008959,Y,,,,Y
1002575,,,,,
1003986,,,,,
1009760,Y,Y,Y,Y,Y
1000236,Y,,Y,,Y
1018506,Y,Y,,,
1005600,Y,Y,,Y,Y
1018629,Y,Y,Y,Y,Y
1009400,Y,,,,
1005408,,,,,
1009282,Y,,,,
1010975,Y,,,Y,Y
1004147,,,,,
1004382,Y,Y,Y,Y,Y
1018221,Y,,,,Y
1001222,,,,,
1004834,,Y,Y,Y,
1005766,,,,,
1007280,,Y,,Y,
1003033,,Y,,Y,
1003034,,Y,,Y,
1003035,,Y,,Y,
1010810,Y,,,,
1000868,Y,,,,Y
1000368,Y,,Y,Y,
1004367,,,,,
1019530,Y,Y,,Y,Y
1019529,Y,Y,,Y,Y
1019531,Y,Y,,Y,Y
1019258,Y,,,,Y
1018559,Y,Y,,Y,Y
1001845,,,,,
1003715,,,,,
1019325,Y,Y,,,
1004976,,,,,
1005902,,,,,
1001500,,,,,
1016849,Y,,,,Y
1004112,,,,,
1019296,Y,,Y,,Y
1001981,Y,,,,
1005405,,,,,
1001975,,,,,
1001974,,,,,
1004089,,,,,
1012552,Y,,,,
1011769,Y,Y,Y,Y,
1006230,Y,,,,
1003633,,,,,
1009993,Y,,,Y,
1019130,Y,,,,
1018027,Y,,,,
1000756,,,,,
1006995,,,,,
1008501,,,,,
1005007,Y,,,Y,Y
1003039,,,,,
1004064,,,,,
1011595,Y,,,,
1006397,,,,,
1007430,,,,,
1001714,,Y,,Y,Y
1009841,Y,,,Y,
1001949,,,,,
1004409,,,,,
1019260,Y,Y,,Y,Y
1019261,Y,Y,,Y,Y
1018700,Y,Y,,Y,
1012177,Y,Y,,Y,
1005035,Y,,,,
1001193,,,,,
1001508,,,,,
1000262,Y,Y,Y,Y,Y
1002243,,,,,
1007270,,,,,
1011390,Y,,,,
1008650,Y,,,,Y
1008666,Y,,,,Y
1008520,Y,,,,
1006612,,,,,
1012748,Y,Y,,Y,
1011308,Y,,,,
1018745,Y,,Y,,Y
1006445,,,,,
1006446,,,,,
1006109,,,,,
1010419,,Y,Y,Y,
1007226,Y,Y,,,
1011771,Y,,,,Y
1006197,,,,,
1010987,Y,,,,
1005184,,Y,,Y,
1000988,,,,,
1017973,Y,,,,
1005469,Y,Y,,Y,Y
1006650,Y,,,,
1004055,Y,,Y,,Y
1016899,Y,,,,Y
1012365,Y,Y,Y,Y,Y
1008846,Y,,,,Y
1004447,,Y,,Y,Y
1001674,,,,,
1003438,,,,,
1008522,Y,,,,
1005792,,,,,
1010708,Y,,,,
1006686,,,,,
1001223,,,,,
1001869,Y,Y,Y,,
1001005,,,,,
1002293,,,,,Y
1006861,,Y,Y,Y,Y
1007201,,,,,
1007146,,,,,
1003606,Y,,,,
1003892,Y,Y,Y,Y,Y
1002327,,,,,
1005624,,,,,
1005403,,,,,
1017926,Y,Y,Y,Y,
1005687,,,,,
1019460,Y,Y,,Y,Y
1002821,,Y,,,
1009750,Y,,,,
1003647,,,,,
1018832,Y,,,,
1018833,Y,,,,
1003650,,,,,
1001743,,,,,
1001426,,,,,
1019539,Y,,,Y,
1006504,Y,Y,,Y,
1004723,Y,Y,Y,Y,
1008921,Y,Y,Y,Y,Y
1005689,,,,,
1000069,Y,Y,Y,Y,Y
1009476,Y,,,,
1004545,,,,,
1009167,Y,,,,
1002148,,,,,
1010752,Y,,,,
1001717,Y,,,,
1003695,,,,,
1018188,Y,,,Y,
1002493,,,,,
1012749,Y,,,,Y
1002514,,,,,
1002739,Y,Y,,Y,Y
1012115,Y,,,,
1018383,Y,,,,Y
1006028,,,,,
1004516,Y,Y,Y,Y,Y
1010428,Y,,,,Y
1001594,Y,,,,
1005176,Y,Y,,Y,Y
1005177,Y,Y,,Y,Y
1005175,Y,Y,,Y,Y
1005178,Y,Y,,Y,Y
1001314,Y,,,,
1007766,,,,,
1001339,,,,,
1011974,Y,,,,
1000044,,,,,
1003908,Y,,,,
1010818,Y,Y,Y,Y,Y
1011345,Y,Y,,,Y
1004993,Y,,,Y,
1019163,Y,Y,,,Y
1009648,Y,,,,
1007703,,,,,
1012505,Y,Y,Y,,
1002568,Y,Y,Y,Y,Y
1001775,,,,,
1008435,Y,,,Y,
1018157,Y,Y,Y,Y,Y
1003088,,,,,
1001883,Y,Y,Y,Y,Y
1018500,Y,Y,Y,Y,Y
1003589,,,,,
1012254,Y,,,,
1019100,Y,,,,
1001090,,,,,
1003500,Y,,,,
1008492,Y,,,Y,Y
1011946,Y,,,,
1002451,,,,,
1004358,,,,,
1007204,,,,,
1018185,Y,,,,Y
1007151,,,,,
1001317,,Y,,Y,
1001847,,,,,
1009395,Y,,,,
1018945,Y,,Y,Y,Y
1005735,,,,,
1018610,Y,,,,Y
1003044,,,,,
1008296,Y,,Y,Y,Y
1007458,,,,,
1012303,Y,,,,
1000260,,,,,
1018154,Y,,,,
1002025,Y,,,,Y
1003098,Y,Y,,,
1003733,,,,,
1006191,,Y,,Y,
1006192,,Y,,Y,
1006190,,Y,,Y,
1012296,Y,,Y,Y,Y
1005914,,,,,
1001995,,,,,
1010030,Y,,,,Y
1011103,Y,Y,,,Y
1000038,,,,,
1002536,Y,Y,,,
1004841,,Y,,Y,
1008571,Y,,,,
1006343,,,,,
1008057,Y,,,Y,Y
1000998,,,,,
1018838,Y,,,,
1005210,Y,,Y,,
1003691,,,,,
1010264,,,,,
1011731,Y,,,,Y
1002719,,,,,
1001002,,,,,
1018416,Y,,,Y,Y
1001356,,Y,,,
1019308,Y,,Y,Y,Y
1002914,Y,,,,
1009389,Y,,,,
1011747,Y,,,,Y
1001062,,,,,
1005891,,,,,
1001904,,,,,
1003126,Y,,,,Y
1002830,,,,,
1009013,Y,,,,
1002512,,,,,
1007588,,Y,,Y,
1004069,Y,,,,Y
1004366,Y,Y,Y,Y,
1007219,,,,,
1018510,Y,Y,Y,Y,
1009667,Y,,,,Y
1011827,Y,,,,Y
1006900,,,,,
1017993,Y,,,,
1019334,Y,Y,,Y,Y
1007255,Y,Y,,Y,Y
1012122,Y,Y,,Y,Y
1011529,Y,,,,
1005374,,,,,
1009423,Y,,,,
1006732,,,,,
1012167,Y,Y,,Y,Y
1007399,,,,,
1005910,,,,,
1003628,,,,Y,Y
1016879,Y,,,,
1002740,Y,Y,,Y,Y
1006035,,,,,
1008546,Y,Y,,Y,Y
1010066,Y,,,,
1004146,,,,,
1002348,,,,,
1010129,Y,,,,
1001118,,,,,
1018489,Y,Y,,Y,
1018958,Y,,,Y,
1019458,Y,Y,,Y,Y
1001225,,,,,
1005161,,,,,
1004099,,,,,
1004814,,,,,
1011426,Y,Y,,Y,Y
1006582,,Y,,Y,Y
1002504,,,,,
1004217,Y,,,,Y
1003376,Y,,,,
1004778,,Y,,Y,
1001935,,,,,
1009316,Y,,,,
1010026,Y,,Y,Y,
1000920,,,,,
1006185,,,,,
1018816,Y,,,,Y
1018177,Y,Y,,Y,Y
1012333,Y,,,,
1000417,,,,,
1005692,Y,Y,Y,,Y
1019439,Y,,,,Y
1007017,,,,,
1000635,,,,,
1008532,Y,,,,
1003991,,Y,Y,Y,Y
1010285,Y,,,,Y
1018706,Y,Y,Y,,Y
1006972,,,,,
1018938,Y,,,,Y
1012301,Y,,,,
1000300,Y,Y,,Y,Y
1010834,Y,,,,
1010893,Y,,,,Y
1003046,Y,,,,
1011289,Y,Y,Y,,Y
1009829,Y,,,,Y
1016793,Y,Y,Y,Y,Y
1010972,Y,Y,Y,Y,Y
1010958,Y,Y,Y,Y,Y
1016792,Y,,Y,,
1009895,Y,Y,Y,Y,Y
1010961,Y,Y,Y,,
1006655,,,,,
1016867,Y,Y,,Y,
1010809,Y,,,,
1009391,Y,,,,
1000570,,,,,
1009043,Y,,,,Y
1006153,,,,,
1010455,Y,Y,Y,Y,Y
1000432,Y,Y,,,Y
1008815,Y,,,,
1009355,Y,,,,
1000439,,,,,
1004124,Y,Y,,Y,Y
1005160,Y,Y,,Y,Y
1012298,Y,,,,Y
1003643,Y,Y,,Y,Y
1001026,Y,Y,Y,Y,Y
1009172,Y,,,,
1000288,,,,,
1018884,Y,Y,,Y,Y
1018236,Y,,,,Y
1004524,Y,,,Y,Y
1009176,Y,,,,
1004276,Y,Y,,,
1000769,Y,Y,,,Y
1019370,Y,,,,
1006427,Y,Y,Y,Y,Y
1001410,,,,,
1005013,,,,,
1008507,Y,,,,
1000589,Y,,,,
1010837,Y,Y,Y,Y,Y
1005112,,Y,,Y,
1007589,,Y,,Y,
1012519,Y,,,,Y
1002641,Y,Y,Y,,
1000841,Y,,,,
1001616,Y,,,,
1012192,Y,Y,,Y,Y
1019401,Y,,,,Y
1010769,Y,Y,,Y,Y
1008853,Y,Y,Y,Y,Y
1004470,,,,,
1000140,,,,,
1001931,,,,,
1002400,Y,,,,
1002635,,,,,
1010080,Y,Y,Y,Y,Y
1019032,Y,,,,
1006820,Y,Y,,Y,
1002946,,,,,
1000039,,,,,
1016894,Y,,,,Y
1002184,Y,Y,,Y,
1004902,,,,,
1001987,,,,,
1004901,,,,,
1006931,,,,,
1004900,,,,,
1019216,Y,,,,
1010854,Y,,,,Y
1012608,Y,,Y,Y,Y
1011952,Y,,,,Y
1002706,,,,,
1012243,Y,Y,,,Y
1012256,Y,Y,,,Y
1016834,Y,,,,
1005420,Y,,,,
1004884,Y,Y,,Y,Y
1010525,Y,Y,,Y,Y
1008125,Y,,,,
1000453,,,,,
1009235,Y,,,,
1012292,Y,,,,
1008778,Y,Y,,Y,
1001128,,,,,
1007294,,,,,
1003252,Y,Y,,Y,Y
1008690,Y,Y,Y,Y,Y
1003282,Y,Y,Y,Y,
1008415,Y,Y,,,
1006656,,,,,
1001809,,,,,
1009182,Y,,,,
1019341,Y,Y,,Y,Y
1006384,Y,,,,
1019083,Y,,,,Y
1001047,Y,Y,Y,Y,
1009757,,,,,
1003030,,,,,
1003031,,,,,
1010225,Y,Y,,Y,Y
1009372,Y,,,,
1018930,Y,Y,,Y,Y
1011040,Y,,,Y,
1011155,Y,,,,
1018857,Y,,,,
1001301,Y,,,,
1002546,,Y,Y,Y,
1003977,Y,Y,,Y,Y
1018621,Y,Y,Y,Y,Y
1009415,Y,,,,
1000070,,,,,
1005804,,,,,
1010825,Y,,,,
1008258,Y,Y,,Y,Y
1018778,Y,,,,Y
1011222,Y,Y,,Y,
1007011,,,,,
1007319,Y,Y,Y,Y,Y
1019534,Y,,Y,Y,Y
1012232,Y,Y,,Y,Y
1011441,Y,Y,,,Y
1004072,Y,Y,,Y,Y
1018245,Y,Y,Y,Y,Y
1005281,Y,Y,Y,Y,Y
1005698,,,,,
1001131,Y,,,,
1016881,Y,Y,,Y,Y
1000232,,,,,
1005500,,Y,Y,Y,
1011035,Y,,,,Y
1000550,Y,Y,,Y,Y
1010998,Y,Y,Y,Y,
1004326,,Y,Y,,Y
1018322,Y,Y,Y,Y,Y
1000723,Y,Y,,Y,Y
1008154,Y,,,,
1000505,,,,,
1008005,,Y,,Y,
1000171,Y,,,,Y
1006959,,,,,
1001816,,,,,
1007243,,,,,
1003574,,,,,
1012390,Y,,,,
1006512,,,,,
1010301,Y,Y,,,
1007831,,Y,,Y,
1011876,Y,,Y,Y,
1019525,Y,Y,,Y,Y
1004571,,,,,
1008537,Y,,,,
1001512,,,,Y,
1005052,,,,,
1008646,Y,,,,
1004280,,,,,
1016911,Y,Y,Y,Y,Y
1018361,Y,,,,Y
1002597,,,,,
1019390,Y,Y,,,Y
1012665,Y,,,,
1004676,Y,Y,Y,Y,Y
1002409,,,,,
1005577,,,,,
1005358,Y,Y,Y,Y,Y
1009977,Y,Y,Y,Y,Y
1010750,Y,Y,,Y,
1006451,Y,,,,
1005197,Y,Y,Y,Y,Y
1004485,Y,,Y,,Y
1004484,,Y,,Y,
1003113,,,,,
1007313,,,,,
1010872,Y,,,,
1009697,,,,,
1001873,Y,,,,
1008158,Y,Y,Y,Y,Y
1010851,Y,Y,,Y,
1004090,,,,,
1006998,,Y,,Y,
1002544,,,,,
1005571,,,,,
1006821,,,,,
1012250,Y,Y,Y,Y,Y
1004579,Y,,,,
1011190,Y,Y,Y,Y,Y
1001993,,,,,
1006719,,,,,
1007707,,,,,
1007215,,,,,
1007216,,,,,
1002994,,,,,
1018953,Y,,,,Y
1004646,,Y,,Y,
1000312,Y,Y,,Y,Y
1009830,Y,,,,Y
1011986,Y,,,,
1018350,Y,,,,Y
1007079,,,,,
1005283,Y,,,Y,
1012345,Y,Y,,Y,Y
1003849,Y,Y,,Y,
1005023,,,,,
1011551,Y,,,,
1019082,Y,Y,,,Y
1011449,Y,Y,,,Y
1005953,Y,Y,,,Y
1003880,,,,,
1003212,Y,Y,,,
1018729,Y,,,,Y
1005920,Y,Y,Y,Y,
1007660,,,,,
1007708,,,,,
1001452,,,,,
1001524,,,,,
1003195,,,,,
1005727,,,,,
1009345,Y,,,,
1004475,Y,,,,Y
1018222,Y,,,,Y
1018159,Y,,,Y,Y
1000807,Y,Y,Y,Y,Y
1000542,,,,,
1012686,Y,,,,Y
1012407,Y,Y,,Y,Y
1003386,,,,,
1008129,Y,,,,
1011673,Y,,,,Y
1003629,Y,,,,
1008544,Y,Y,,Y,Y
1007709,,,,,
1019079,Y,Y,,,
1004708,Y,Y,,Y,
1012383,Y,Y,,Y,Y
1004412,,,,,
1007482,,,,,
1010104,Y,Y,,Y,Y
1018974,Y,Y,Y,Y,Y
1005357,,,,,
1005544,,,,Y,Y
1010847,Y,Y,,Y,
1002933,Y,,,,Y
1006684,Y,,,Y,Y
1005552,,,,,
1018332,Y,,,,Y
1002993,Y,Y,Y,Y,Y
1008271,Y,Y,Y,Y,Y
1000715,,,,,
1001475,,,Y,Y,
1011113,Y,,,,Y
1012615,Y,Y,Y,Y,Y
1006288,,,,,
1000412,,,,,
1019510,Y,Y,Y,Y,Y
1005342,,Y,,Y,Y
1012717,Y,,Y,Y,Y
1010324,Y,,,,
1007049,,,,,
1019094,Y,Y,,Y,Y
1007638,,,,,
1003625,,,,,
1007162,,,,,
1009904,Y,Y,,,
1005757,Y,,,,
1007827,,,,,
1006657,,,,,
1007516,,,,,
1003103,Y,,,,
1003175,Y,,,Y,
1008871,Y,Y,,Y,Y
1001624,Y,Y,,,Y
1001670,,,,,
1002440,,,,,
1009242,Y,,,,
1019125,Y,,,,
1019462,Y,Y,Y,Y,Y
1006029,,,,,
1009934,Y,Y,,Y,Y
1007815,,Y,,Y,
1009867,Y,Y,Y,Y,Y
1006929,,Y,,Y,
