FMID,season,seasonOpenning,seasonClosing,seasonTime
1002609,"June - October","June ",October,"Sat: 9:00 AM-12:00 PM;"
1010004,"June - October","June ",October,"Wed: 9:00 AM-2:00 PM;"
1011911,"June - October","June ",October,"Sat: 9:00 AM-2:00 PM;"
1000964,"June - October","June ",October,"Wed: 9:00 AM-11:30 PM;"
1017936,"May - September","May "," September","Tue: 5:00 PM-7:00 PM;"
1005232,"May - October","May ",October,"Thu:4:00 PM - 6:00 PM;"
1011829,"June - November","June ",November,"Sat: 9:00 AM-1:00 PM;"
1001125,"May - October","May ",October,"Fri:4:00 pm - 6:00 pm;"
1008070,"May - November","May ",November,"Sun: 9:00 AM-1:00 PM;"
1018396,"October - November","October ",November,"Sat: 9:00 AM-1:00 PM;"
1018223,"June - October","June ",October,"Sat: 8:00 AM-1:00 PM;"
1018563,"December - March","December "," March","Sat: 9:00 AM-12:30 PM;"
1000208,"May - October","May ",October,"Tue: 7:00 AM-1:00 PM;Thu: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1002737,"January - December","January "," December","Sun: 9:00 AM-1:00 PM;"
1005883,"June - October","June ",October,"Tue: 7:00 AM-1:00 PM;Thu: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1008372,"May - August","May "," August","Sat: 9:30 AM-11:30 PM;"
1005223,"May - October","May ",October,"Sat:7:00 AM - 12:00 PM;"
1001063,"January - December","January "," December","Sat:8:00 am - 12:00 pm;"
1005436,"May - October","May ",October,"Fri: 8:00 AM-12:00 PM;"
1008177,"April - October","April ",October,"Tue: 3:00 PM-6:00 PM;Sat: 9:00 AM-2:00 PM;"
1010000,"March - December","March "," December","Thu: 3:00 PM-6:00 PM;Sat: 9:00 AM-2:00 PM;"
1004274,"July - October","July ",October,"Tue: 5:30 PM-8:30 PM;"
1008789,"May - October","May ",October,"Fri: 3:00 PM-7:00 PM;"
1019440,"May - September","May "," September","Wed: 3:00 PM-6:00 PM;Sat: 9:00 AM-1:00 PM;"
1018092,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1004074,"January - December","January "," December","Tue: 2:00 PM-6:00 PM;"
1018374,"January - April","January "," April","Fri: 9:00 AM-1:00 PM;"
1018134,"October - May","October "," May","Sat: 8:00 AM-1:00 PM;"
1018313,"April - October","April ",October,"Sat: 9:00 AM-1:00 PM;"
1018316,"November - December","November "," December","Sat: 9:00 AM-2:00 PM;"
1005231,"April - October","April ",October,"Sat:8:00 AM - 12:00 PM;"
1010517,"October - April","October "," April","Sat: 8:00 AM-12:00 PM;"
1004185,"October - May","October "," May","Wed: 8:00 AM-1:00 PM;"
1018353,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1001840,"April - October","April ",October,"Sat:8:00 am - 1:00 pm;"
1003632,"May - December","May "," December","Mon: 9:00 AM-6:00 PM;Tue: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-6:00 PM;Sun: 9:00 AM-6:00 PM;"
1011796,"April - October","April ",October,"Sat: 8:00 AM-12:00 PM;"
1006833,"June - October","June ",October,"Thu: 3:00 PM-6:00 PM;"
1012632,"January - December","January "," December","Mon: 10:00 AM-6:00 PM;Tue: 10:00 AM-6:00 PM;Wed: 10:00 AM-6:00 PM;Thu: 10:00 AM-6:00 PM;Fri: 10:00 AM-6:00 PM;Sat: 10:00 AM-5:00 PM;"
1018036,"June - November","June ",November,"Sat: 8:30 AM-1:00 PM;"
1001907,"May - October","May ",October,"Sat:9:30 am - 12:00 pm;"
1019318,"April - October","April ",October,"Sat: 8:00 AM-12:00 PM;"
1001016,"June - September","June "," September","Sun: 10:00 AM-3:00 PM;"
1000101,"July - November","July ",November,"Thu: 8:00 AM-3:00 PM;"
1011061,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1012513,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1018794,"January - December","January "," December","Mon: 8:00 AM-8:00 PM;Tue: 8:00 AM-8:00 PM;Wed: 8:00 AM-8:00 PM;Thu: 8:00 AM-8:00 PM;Fri: 8:00 AM-8:00 PM;Sat: 8:00 AM-8:00 PM;Sun: 10:00 AM-8:00 PM;"
1012593,"September - October","September ",October,"Thu: 11:00 AM-3:00 PM;"
1011174,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1004298,"June - October","June ",October,"Fri: 12:00 PM-6:00 PM;"
1018394,"July - October","July ",October,"Sat: 8:00 AM-11:00 AM;"
1003353,"December - December","December "," December","Sat:9:00 AM - 3:00 PM;sun:9:00 AM - 3:00 PM;"
1001526,"July - September","July "," September","Thu: 10:00 AM-3:00 PM;"
1012335,"May - October","May ",October,"Wed: 4:00 PM-8:00 PM;"
1001773,"April - October","April ",October,"Sat: 8:00 AM-12:00 PM;"
1001772,"November - April","November "," April","Sat: 8:00 AM-12:00 PM;"
1006980,"May - September","May "," September","Tue:7:00 AM - 5:00 PM;Thu:7:00 AM - 5:00 PM;Fri:7:00 AM - 5:00 PM;"
1004020,"June - September","June "," September","Thu: 1:00 PM-6:00 PM;"
1006542,"June - October","June ",October,"Thu: 2:30 PM-6:30 PM;"
1004534,"May - October","May ",October,"Sat: 8:30 AM-12:30 PM;"
1009863,"January - December","January "," December","Wed: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;Sat: 9:00 AM-3:00 PM;"
1019165,"May - October","May ",October,"Sun: 8:00 AM-12:00 PM;"
1008423,"April - October","April ",October,"Sat: 9:00 AM-1:00 PM;"
1006911,"May - October","May ",October,"Fri:3:00 PM - 7:00 PM;"
1000066,"January - December","January "," December","Tue: 8:00 AM-5:00 PM;Thu: 8:00 AM-5:00 PM;"
1008806,"March - November","March ",November,"Tue: 6:00 AM-;Thu: 6:00 AM-;Sat: 6:00 AM-;"
1008808,"April - October","April ",October,"Sat: 9:00 AM-2:00 PM;"
1004174,"July - October","July ",October,"Sat: 10:00 AM-1:00 PM;"
1019205,"January - ","January "," ","Wed: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;"
1006498,"October - April","October "," April","Sat: 9:00 AM-12:00 PM;"
1000162,"July - October","July ",October,"Fri: 4:00 PM-7:00 PM;"
1010329,"May - November","May ",November,"Wed: 11:00 AM-6:00 PM;Sun: 10:00 AM-4:00 PM;"
1012320,"October - May","October "," May","Sat: 9:00 AM-2:00 PM;"
1006913,"June - October","June ",October,"Thu:3:00 PM - 6:00 PM;"
1009876,"May - October","May ",October,"Sun: 10:00 AM-2:00 PM;"
